u|v|s
2316.0|6380.0|-0.26982184847028906
2316.0|312.0|0.0
2316.0|6817.0|0.0
2316.0|6938.0|0.0
2316.0|4061.0|0.0
106.0|6182.0|0.0
106.0|6224.0|0.0
106.0|8022.0|0.0
106.0|2573.0|0.0
106.0|938.0|0.0
106.0|6869.0|0.0
106.0|4236.0|0.37026835101613736
106.0|2699.0|0.0
106.0|5743.0|0.0
106.0|4490.0|0.0
106.0|8204.0|0.0
106.0|7195.0|0.0
106.0|2182.0|0.15796746107375467
106.0|2835.0|0.0
106.0|1470.0|0.0
106.0|7275.0|0.0
106.0|7583.0|0.0
106.0|2794.0|0.0
106.0|7772.0|0.0
106.0|8678.0|0.0
106.0|5864.0|0.0
106.0|5967.0|0.0
106.0|5735.0|0.0
106.0|1737.0|0.0
106.0|7936.0|0.0
106.0|2252.0|0.0
106.0|3039.0|0.0
106.0|7956.0|0.0
106.0|2578.0|0.0
106.0|927.0|0.0
106.0|4760.0|0.0
106.0|3570.0|0.0
106.0|7547.0|0.28817620903240676
106.0|7879.0|0.0
106.0|5364.0|0.0
106.0|1427.0|0.0
106.0|7316.0|0.06323258026160553
106.0|3979.0|0.0
106.0|2609.0|0.0
106.0|3052.0|0.00600601727383452
106.0|1917.0|0.0
106.0|6008.0|0.0
106.0|4614.0|0.0
106.0|3069.0|0.0
106.0|5381.0|0.0
106.0|7403.0|0.0
106.0|5617.0|0.0
106.0|4157.0|0.0
106.0|2836.0|0.0
106.0|4313.0|0.0
106.0|3357.0|0.0
106.0|8671.0|0.0
106.0|3628.0|0.0
106.0|3404.0|0.0
106.0|6400.0|0.01935977070952523
106.0|8024.0|0.0
106.0|2851.0|0.0
106.0|2175.0|0.0
106.0|1204.0|0.0
106.0|4480.0|0.0
106.0|6888.0|0.0
106.0|7402.0|0.0
106.0|3837.0|0.0
106.0|6286.0|0.0
106.0|7352.0|0.0
106.0|2967.0|0.0
106.0|2014.0|0.0
106.0|2552.0|0.0
106.0|6830.0|0.0
106.0|2655.0|0.0
106.0|6252.0|0.0
106.0|6911.0|0.0
106.0|5647.0|0.0
106.0|1762.0|0.0
106.0|1742.0|0.0
106.0|5964.0|0.0
106.0|7687.0|0.0
106.0|1408.0|0.0
106.0|4243.0|0.0
106.0|4287.0|0.0
106.0|5345.0|0.0
106.0|7174.0|0.0
106.0|6491.0|0.0
106.0|7278.0|0.0
106.0|1179.0|0.0
106.0|7453.0|0.0
106.0|6984.0|0.0
106.0|2761.0|0.0
106.0|2682.0|0.0
106.0|4119.0|0.0
106.0|1718.0|0.0
106.0|8468.0|0.0
106.0|4632.0|0.0
106.0|1668.0|0.0
106.0|7575.0|0.0
106.0|3910.0|0.0
106.0|1574.0|0.0
106.0|3080.0|0.0
106.0|1629.0|0.0
106.0|4238.0|0.0
106.0|5549.0|0.0
106.0|1587.0|0.0
106.0|6425.0|0.0
106.0|1507.0|0.0
106.0|2666.0|-0.03684753928811332
106.0|7759.0|0.0
106.0|7184.0|0.0
106.0|6873.0|0.0
106.0|7648.0|0.0
106.0|2253.0|0.0
106.0|6748.0|0.0
106.0|5339.0|0.0
106.0|6430.0|0.0
106.0|8701.0|0.0
106.0|1189.0|0.0
106.0|5857.0|0.0
106.0|6181.0|0.0
106.0|2091.0|0.3862090702365574
106.0|4617.0|0.0
106.0|5421.0|0.0
106.0|6993.0|0.0
106.0|2686.0|0.0
106.0|7978.0|-0.2535169461790808
106.0|7627.0|0.0
106.0|2033.0|0.0
106.0|4026.0|0.0
106.0|2297.0|0.0
106.0|4736.0|0.0
106.0|3411.0|0.0
106.0|1038.0|0.0
106.0|1055.0|0.0
106.0|5446.0|0.0
106.0|2021.0|0.04075799015340157
106.0|6475.0|0.0
106.0|1072.0|-0.9789943879470724
106.0|2029.0|0.0
106.0|3800.0|0.0
106.0|2606.0|0.0
631.0|2674.0|0.0
631.0|5680.0|0.0
631.0|7365.0|0.0
631.0|5298.0|0.0
631.0|4458.0|0.0
631.0|1519.0|0.0
631.0|2481.0|0.0
631.0|1773.0|0.0
631.0|2116.0|0.0
631.0|3298.0|0.0
631.0|4104.0|0.0
631.0|4133.0|0.0
631.0|3472.0|0.0
631.0|4039.0|0.0
631.0|3069.0|0.0
631.0|2086.0|0.0
631.0|1076.0|0.20005304843907137
631.0|4395.0|0.0
631.0|5494.0|0.1327340270288437
631.0|3523.0|0.0
631.0|1965.0|0.0
